Agent,Participant,Frequency(Base_Rate),Training Phase,Trail number,Email_ID,ground truth,human_truth,choice made/decision,outcome,Hit,Miss,False,Correct Rejection
LoFQA1,A10O5YR01H865K,25,1,1,208,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA1,A10O5YR01H865K,25,1,2,182,Phishing,Phishing,Ham,0.0,0,1,0,0
LoFQA1,A10O5YR01H865K,25,1,3,198,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA1,A10O5YR01H865K,25,1,4,223,Ham,Phishing,Ham,1.0,0,0,0,1
LoFQA1,A10O5YR01H865K,25,1,5,204,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA1,A10O5YR01H865K,25,1,6,222,Ham,Phishing,Ham,1.0,0,0,0,1
LoFQA1,A10O5YR01H865K,25,1,7,215,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA1,A10O5YR01H865K,25,1,8,178,Phishing,Ham,Ham,0.0,0,1,0,0
LoFQA1,A10O5YR01H865K,25,1,9,230,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA1,A10O5YR01H865K,25,1,10,195,Ham,Phishing,Ham,1.0,0,0,0,1
LoFQA1,A10O5YR01H865K,25,2,1,39,Phishing,Ham,Ham,0.0,0,1,0,0
LoFQA1,A10O5YR01H865K,25,2,2,24,Phishing,Phishing,Ham,0.0,0,1,0,0
LoFQA1,A10O5YR01H865K,25,2,3,141,Phishing,Ham,Phishing,1.0,1,0,0,0
LoFQA1,A10O5YR01H865K,25,2,4,47,Phishing,Phishing,Ham,0.0,0,1,0,0
LoFQA1,A10O5YR01H865K,25,2,5,209,Ham,Phishing,Phishing,0.0,0,0,1,0
LoFQA1,A10O5YR01H865K,25,2,6,210,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA1,A10O5YR01H865K,25,2,7,188,Ham,Phishing,Ham,1.0,0,0,0,1
LoFQA1,A10O5YR01H865K,25,2,8,202,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA1,A10O5YR01H865K,25,2,9,235,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA1,A10O5YR01H865K,25,2,10,213,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA1,A10O5YR01H865K,25,2,11,237,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA1,A10O5YR01H865K,25,2,12,136,Phishing,Phishing,Ham,0.0,0,1,0,0
LoFQA1,A10O5YR01H865K,25,2,13,220,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA1,A10O5YR01H865K,25,2,14,38,Phishing,Phishing,Ham,0.0,0,1,0,0
LoFQA1,A10O5YR01H865K,25,2,15,159,Phishing,Phishing,Phishing,1.0,1,0,0,0
LoFQA1,A10O5YR01H865K,25,2,16,227,Ham,Phishing,Ham,1.0,0,0,0,1
LoFQA1,A10O5YR01H865K,25,2,17,216,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA1,A10O5YR01H865K,25,2,18,217,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA1,A10O5YR01H865K,25,2,19,189,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA1,A10O5YR01H865K,25,2,20,203,Ham,Phishing,Ham,1.0,0,0,0,1
LoFQA1,A10O5YR01H865K,25,2,21,193,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA1,A10O5YR01H865K,25,2,22,224,Ham,Ham,Ham,1.0,0,0,0,1
LoFQA1,A10O5YR01H865K,25,2,23,54,Phishing,Ham,Ham,0.0,0,1,0,0
